Gene,n_en_student_p_value,en_c_student_p_value,n_en_permutation_p_value,en_c_permutation_p_value
EIF4G3,0.32463546745777405,0.09496033551859706,0.3275,0.0892
ECE1,0.03774582688905256,0.1864110530525458,0.042,0.1874
LOC100506801,0.9598827367261553,0.03617172400948276,0.9548,0.0395
ALPL,0.03382904355964933,0.00017369913338935927,0.0311,0.0002
RAP1GAP,0.13246762410033674,0.5514994524843853,0.136,0.5575
USP48,0.6736614243035957,0.370264426379872,0.6812,0.3607
LDLRAD2,0.7550778670011441,0.03642374622121794,0.7559,0.0248
HSPG2,0.4126663806250962,0.14414388710022238,0.4152,0.1448
NCRNA00339,0.7813490103197958,0.3952113641874403,0.7807,0.4147
CDC42,0.2609417858545009,0.8591659075984949,0.2568,0.8592
WNT4,0.07094352756466606,0.0002886764744301158,0.0723,0.0001
ZBTB40,0.060349717997045006,0.6495176841066099,0.0617,0.6542
EPHA8,0.0076201630814359675,0.20101898229440815,0.0048,0.2011
C1QA,0.24176148458285857,0.004268518088463689,0.236,0.0027
C1QC,0.23263720765760848,0.006261047368622138,0.2292,0.0042
C1QB,0.6421511155161007,0.0014842044410136052,0.6412,0.0011
EPHB2,0.7950394615838718,0.0013726952896521208,0.8,0.0011
LOC729059,0.017883651749433137,0.13773612634860435,0.019,0.1358
KDM1A,0.619105866890068,0.15919687783487857,0.6248,0.1567
LUZP1,0.6490414447228543,0.9752958395829255,0.6474,0.9724
HNRNPR,0.8819548129573908,0.5363482911155453,0.8808,0.541
ZNF436,0.36958287791818634,0.09348782788965064,0.3693,0.0951
C1orf213,0.38797722729009354,0.16212273136086597,0.3857,0.1655
TCEA3,0.5752209768351735,0.004571850385541131,0.566,0.0041
ASAP3,0.19857336637134973,0.004050137143363028,0.202,0.0034
E2F2,0.9563330376428542,0.016560664439429454,0.9549,0.0002
ID3,0.10243343223951115,0.038088707124646744,0.0995,0.0327
MDS2,0.5446706648583546,0.014284868520741997,0.5507,0.0137
RPL11,0.14446673633751778,0.3653265983897038,0.1496,0.3768
TCEB3,0.7169218744983834,0.08927650419752035,0.7122,0.0822
LOC100506963,0.05154724348310583,0.8850682520905375,0.0518,0.8875
PITHD1,0.004791284057004252,0.10413137065727007,0.004,0.1099
LYPLA2,0.7749084494046881,0.1538962870394377,0.7699,0.1408
GALE,0.6134289254527328,0.006795411104961813,0.6139,0.0032
HMGCL,0.6562259032392994,0.2731867529467418,0.6545,0.2699
